id,name,rubys,imageURL,affiliateURL,bust,cup,waist,hip,height,birthday,blood_type,hobby,prefectures
1053543,ひなたまりん,ひなたまりん,http://pics.dmm.co.jp/mono/actjpgs/hinata_marin.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053543%2F&af_id=avzeus-999&ch=api,90,E,60,88,171,1997-07-07,A,NoData,東京都
1075010,宍戸里帆,ししどりほ,http://pics.dmm.co.jp/mono/actjpgs/sisido_riho.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1075010%2F&af_id=avzeus-999&ch=api,87,G,59,86,153,2001-10-14,NoData,読書、映画、料理,東京都
1042129,七沢みあ,ななさわみあ,http://pics.dmm.co.jp/mono/actjpgs/nanasawa_mia.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1042129%2F&af_id=avzeus-999&ch=api,79,C,54,80,145,1998-12-13,NoData,NoData,NoData
1066537,白峰ミウ,しろみねみう,http://pics.dmm.co.jp/mono/actjpgs/siromine_miu.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1066537%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1054327,琴井しほり,こといしほり,http://pics.dmm.co.jp/mono/actjpgs/kotoi_sihori.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1054327%2F&af_id=avzeus-999&ch=api,82,D,56,85,153,NoData,NoData,NoData,NoData
1048277,星宮一花,ほしみやいちか,http://pics.dmm.co.jp/mono/actjpgs/hosimiya_itika.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1048277%2F&af_id=avzeus-999&ch=api,85,D,59,89,168,1998-06-28,NoData,カフェ巡り、料理,神奈川県
1027409,澁谷果歩,しぶやかほ,http://pics.dmm.co.jp/mono/actjpgs/sibuya_kaho.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1027409%2F&af_id=avzeus-999&ch=api,93,K,58,87,150,1991-05-20,A,ギター、英語,東京都
14495,晶エリー（新井エリー、大沢佑香）,あきらえりー（あらいえりー、おおさわゆうか）,http://pics.dmm.co.jp/mono/actjpgs/oosawa_yuka2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D14495%2F&af_id=avzeus-999&ch=api,88,F,60,98,154,1986-12-22,A,手芸、料理,東京都
1077723,小湊よつ葉,こみなとよつは,http://pics.dmm.co.jp/mono/actjpgs/kominato_yotuha.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1077723%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1077862,黒木れいな,くろきれいな,http://pics.dmm.co.jp/mono/actjpgs/kuroki_reina2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1077862%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1054440,高樹あすか,たかぎあすか,http://pics.dmm.co.jp/mono/actjpgs/takagi_asuka2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1054440%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1015712,あべみかこ,あべみかこ,http://pics.dmm.co.jp/mono/actjpgs/abe_mikako.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1015712%2F&af_id=avzeus-999&ch=api,73,A,61,86,158,1994-02-21,O,NoData,NoData
1053857,小梅えな,こうめえな,http://pics.dmm.co.jp/mono/actjpgs/koume_ena.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053857%2F&af_id=avzeus-999&ch=api,105,K,64,99,160,NoData,NoData,NoData,NoData
1057477,八木奈々,やぎなな,http://pics.dmm.co.jp/mono/actjpgs/yagi_nana.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1057477%2F&af_id=avzeus-999&ch=api,82,E,56,86,156,2000-09-03,NoData,料理、ピアノ,長野県
1050139,篠崎かんな,しのざきかんな,http://pics.dmm.co.jp/mono/actjpgs/shinozaki_kanna.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1050139%2F&af_id=avzeus-999&ch=api,95,G,65,100,153,NoData,NoData,NoData,NoData
1008785,篠田ゆう,しのだゆう,http://pics.dmm.co.jp/mono/actjpgs/sinoda_yuu.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1008785%2F&af_id=avzeus-999&ch=api,88,F,60,88,155,1991-07-21,O,DVD鑑賞、ジャズダンス、ピアノ,東京都
1064132,白桃はな,しらとはな,http://pics.dmm.co.jp/mono/actjpgs/sirato_hana.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1064132%2F&af_id=avzeus-999&ch=api,78,C,58,88,153,2000-05-12,NoData,着付け、ダンス,山形県
1060892,蜜美杏,みつみあん,http://pics.dmm.co.jp/mono/actjpgs/mitumi_an.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1060892%2F&af_id=avzeus-999&ch=api,86,F,58,89,170,2000-11-15,O,SNS、自撮り,東京都
1051357,伊賀まこ,いがまこ,http://pics.dmm.co.jp/mono/actjpgs/iga_mako.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1051357%2F&af_id=avzeus-999&ch=api,82,D,57,83,161,1997-11-11,NoData,舞台鑑賞、茶道,NoData
1042596,八乃つばさ,はちのつばさ,http://pics.dmm.co.jp/mono/actjpgs/hatino_tubasa.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1042596%2F&af_id=avzeus-999&ch=api,88,E,58,83,156,NoData,NoData,スポーツ,NoData
19380,仲村りお,なかむらりお,http://pics.dmm.co.jp/mono/actjpgs/nakamura_rio.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D19380%2F&af_id=avzeus-999&ch=api,83,B,58,85,167,1986-04-11,O,読書,福岡県
17802,つぼみ,つぼみ,http://pics.dmm.co.jp/mono/actjpgs/tubomi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D17802%2F&af_id=avzeus-999&ch=api,84,D,58,85,160,1987-12-25,O,読書、ショッピング、ファンシーグッズ収集、犬の散歩,山口県
1050319,三浦歩美,みうらあゆみ,http://pics.dmm.co.jp/mono/actjpgs/miura_ayumi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1050319%2F&af_id=avzeus-999&ch=api,90,G,58,85,167,NoData,NoData,NoData,NoData
1042907,伊藤舞雪,いとうまゆき,http://pics.dmm.co.jp/mono/actjpgs/ito_mayuki.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1042907%2F&af_id=avzeus-999&ch=api,88,F,54,89,NoData,NoData,NoData,NoData,NoData
1047611,黒川すみれ,くろかわすみれ,http://pics.dmm.co.jp/mono/actjpgs/kurokawa_sumire.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1047611%2F&af_id=avzeus-999&ch=api,78,G,56,88,167,1991-04-25,NoData,弓道、体操、カフェ巡り,滋賀県
1030262,三上悠亜,みかみゆあ,http://pics.dmm.co.jp/mono/actjpgs/mikami_yua.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1030262%2F&af_id=avzeus-999&ch=api,84,F,58,88,159,1993-08-16,NoData,アイドルDVD鑑賞,NoData
1049908,渚みつき,なぎさみつき,http://pics.dmm.co.jp/mono/actjpgs/nagisa_mituki.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1049908%2F&af_id=avzeus-999&ch=api,82,B,58,83,155,NoData,NoData,NoData,NoData
21549,佐山愛,さやまあい,http://pics.dmm.co.jp/mono/actjpgs/sayama_ai.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D21549%2F&af_id=avzeus-999&ch=api,98,H,61,90,NoData,1989-01-08,O,ネットサーフィン,東京都
1062909,三宮つばき,さんのみやつばき,http://pics.dmm.co.jp/mono/actjpgs/sannomiya_tubaki.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1062909%2F&af_id=avzeus-999&ch=api,89,G,54,83,152,1998-05-04,A,"料理, フランス語",NoData
1028857,大島優香,おおしまゆうか,http://pics.dmm.co.jp/mono/actjpgs/oosima_yuuka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1028857%2F&af_id=avzeus-999&ch=api,88,F,59,88,158,NoData,NoData,NoData,NoData
1070448,百永さりな,ももながさりな,http://pics.dmm.co.jp/mono/actjpgs/momonaga_sarina.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1070448%2F&af_id=avzeus-999&ch=api,88,H,56,85,NoData,NoData,A,ゴルフ、筋トレ,NoData
1053258,柊るい,ひいらぎるい,http://pics.dmm.co.jp/mono/actjpgs/hiiragi_rui.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053258%2F&af_id=avzeus-999&ch=api,87,F,59,88,150,1999-12-19,NoData,NoData,NoData
1068670,花狩まい,かがりまい,http://pics.dmm.co.jp/mono/actjpgs/kagari_mai.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1068670%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1039921,山岸逢花,やまぎしあいか,http://pics.dmm.co.jp/mono/actjpgs/yamagishi_aika.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1039921%2F&af_id=avzeus-999&ch=api,82,C,59,86,161,1992-11-30,NoData,NoData,NoData
1041833,岬ななみ,みさきななみ,http://pics.dmm.co.jp/mono/actjpgs/misaki_nanami.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1041833%2F&af_id=avzeus-999&ch=api,83,D,57,87,150,1996-06-09,O,バレーボール,静岡県
1048878,優月心菜,ゆづきここな,http://pics.dmm.co.jp/mono/actjpgs/yuduki_kokona.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1048878%2F&af_id=avzeus-999&ch=api,87,E,58,83,160,1995-11-09,NoData,カラオケ,NoData
1072694,明日見未来,あすみみらい,http://pics.dmm.co.jp/mono/actjpgs/asumi_mirai.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1072694%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1067505,琴音華,ことねはな,http://pics.dmm.co.jp/mono/actjpgs/kotone_hana2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1067505%2F&af_id=avzeus-999&ch=api,85,E,60,93,164,2000-08-17,A,ショッピング,秋田県
1075330,皆瀬あかり,みなせあかり,http://pics.dmm.co.jp/mono/actjpgs/minase_akari.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1075330%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1048468,深田えいみ,ふかだえいみ,http://pics.dmm.co.jp/mono/actjpgs/hukada_eimi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1048468%2F&af_id=avzeus-999&ch=api,87,NoData,63,91,158,1998-03-18,NoData,食べる事、タピオカ巡り、美容、華道,東京都
1021359,夏目彩春,なつめいろは,http://pics.dmm.co.jp/mono/actjpgs/natume_iroha.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1021359%2F&af_id=avzeus-999&ch=api,85,D,57,82,166,1984-06-20,O,音楽鑑賞、卓球,東京都
1058559,広瀬りおな,ひろせりおな,http://pics.dmm.co.jp/mono/actjpgs/hirose_riona.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1058559%2F&af_id=avzeus-999&ch=api,88,F,54,80,160,NoData,NoData,プロレス、MMA、サッカー観戦、フルート、映画鑑賞,NoData
1051008,稲場るか,いなばるか,http://pics.dmm.co.jp/mono/actjpgs/inaba_ruka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1051008%2F&af_id=avzeus-999&ch=api,93,H,59,86,160,2000-01-08,NoData,お笑い、ダンス,NoData
1075658,希咲那奈,きさきなな,http://pics.dmm.co.jp/mono/actjpgs/kisaki_nana.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1075658%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1053042,上野朱里,うえのあかり,http://pics.dmm.co.jp/mono/actjpgs/ueno_akari.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053042%2F&af_id=avzeus-999&ch=api,86,F,60,83,148,NoData,NoData,NoData,NoData
8333,青木玲,あおきれい,http://pics.dmm.co.jp/mono/actjpgs/aoki_rei2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D8333%2F&af_id=avzeus-999&ch=api,86,E,58,86,160,1984-07-11,A,料理、昼寝、バドミントン,埼玉県
1060480,田中ねね,たなかねね,http://pics.dmm.co.jp/mono/actjpgs/tanaka_nene.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1060480%2F&af_id=avzeus-999&ch=api,97,H,60,90,151,1999-09-20,NoData,ゲーム、速読,NoData
1051794,根尾あかり,ねおあかり,http://pics.dmm.co.jp/mono/actjpgs/neo_akari.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1051794%2F&af_id=avzeus-999&ch=api,84,E,60,86,157,NoData,NoData,映画鑑賞,NoData
1052388,一ノ瀬菫,いちのせすみれ,http://pics.dmm.co.jp/mono/actjpgs/itinose_sumire.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1052388%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1078179,日向かえで,ひなたかえで,http://pics.dmm.co.jp/mono/actjpgs/hinata_kaede.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1078179%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1078406,千葉あやめ,ちばあやめ,http://pics.dmm.co.jp/mono/actjpgs/tiba_ayame.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1078406%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1042119,桜もこ,さくらもこ,http://pics.dmm.co.jp/mono/actjpgs/sakura_moko.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1042119%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1037663,明里つむぎ,あかりつむぎ,http://pics.dmm.co.jp/mono/actjpgs/akari_tumugi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1037663%2F&af_id=avzeus-999&ch=api,80,B,58,83,155,1998-03-31,O,ネットサーフィン（WiFi命）、アイドル研究,神奈川県
1043123,有村のぞみ,ありむらのぞみ,http://pics.dmm.co.jp/mono/actjpgs/arimura_nozomi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1043123%2F&af_id=avzeus-999&ch=api,86,E,58,88,155,1996-02-14,NoData,海外旅行,静岡県
1021367,希島あいり,きじまあいり,http://pics.dmm.co.jp/mono/actjpgs/kizima_airi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1021367%2F&af_id=avzeus-999&ch=api,85,C,58,87,160,1988-12-24,O,読書、料理、ダンス、バスケット,東京都
1077382,千石もなか,せんごくもなか,http://pics.dmm.co.jp/mono/actjpgs/sengoku_monaka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1077382%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1038712,佐藤ののか（加藤ももか）,さとうののか（かとうももか）,http://pics.dmm.co.jp/mono/actjpgs/katou_momoka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1038712%2F&af_id=avzeus-999&ch=api,85,D,56,91,156,NoData,NoData,読書、クラシックバレエ,東京都
1043955,牧村彩香,まきむらあやか,http://pics.dmm.co.jp/mono/actjpgs/makimura_ayaka.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1043955%2F&af_id=avzeus-999&ch=api,88,G,62,92,148,NoData,NoData,NoData,NoData
1076678,双葉くるみ,ふたばくるみ,http://pics.dmm.co.jp/mono/actjpgs/hutaba_kurumi.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1076678%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
